,workerid,language,correct,idiom,response,result,rt,Affect
18,49,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,11074.0,Negative
19,72,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,14213.0,Negative
20,80,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,3604.0,Negative
21,119,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to spoil something through excessive enthusiasm or by overdoing it,correct,10076.0,Negative
22,106,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,10380.0,Negative
23,55,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to spoil something through excessive enthusiasm or by overdoing it,correct,14785.0,Negative
24,116,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,9411.0,Negative
25,43,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,28515.0,Negative
26,114,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to spoil something through excessive enthusiasm or by overdoing it,correct,8935.0,Negative
27,112,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,17024.0,Negative
28,66,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to force someone to follow your beliefs,incorrect,7193.0,Negative
29,100,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to spoil something through excessive enthusiasm or by overdoing it,correct,14452.0,Negative
30,78,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,23419.0,Negative
31,51,Mandarin Chinese,to spoil something through excessive enthusiasm or by overdoing it,to pull shoots to help them grow,to give support and encouragement,incorrect,7815.0,Negative
32,118,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,8921.0,Negative
33,32,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,5682.0,Negative
34,81,Spanish,to be in a bad mood,to be from bad milk,to be in a bad mood,correct,7511.0,Negative
35,83,Spanish,to be in a bad mood,to be from bad milk,to start low and keep improving,incorrect,10902.0,Negative
36,131,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,12480.0,Negative
37,49,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,5219.0,Negative
38,64,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,36947.0,Negative
39,92,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,27852.0,Negative
40,44,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,8267.0,Negative
41,121,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,16549.0,Negative
42,48,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,9014.0,Negative
43,54,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,9488.0,Negative
44,59,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,10040.0,Negative
45,47,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,17379.0,Negative
46,124,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,8028.0,Negative
47,37,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,24896.0,Negative
48,78,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,11234.0,Negative
49,51,Spanish,to be in a bad mood,to be from bad milk,to be raised in bad conditions,incorrect,12102.0,Negative
50,118,Russian,to fool or to lie to someone,to hang noodles on the ears,to fool or to lie to someone,correct,18897.0,Negative
51,45,Russian,to fool or to lie to someone,to hang noodles on the ears,to fool or to lie to someone,correct,14864.0,Negative
52,91,Russian,to fool or to lie to someone,to hang noodles on the ears,to fool or to lie to someone,correct,9797.0,Negative
53,87,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,12612.0,Negative
54,62,Russian,to fool or to lie to someone,to hang noodles on the ears,to criticize or reprimand someone publicly,incorrect,10468.0,Negative
55,53,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,9019.0,Negative
56,30,Russian,to fool or to lie to someone,to hang noodles on the ears,to fool or to lie to someone,correct,20339.0,Negative
57,84,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,16105.0,Negative
58,58,Russian,to fool or to lie to someone,to hang noodles on the ears,to listen or pay attention with great care and concentration,incorrect,22662.0,Negative
59,86,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,34934.0,Negative
60,64,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,38165.0,Negative
61,46,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,23558.0,Negative
62,42,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,9014.0,Negative
63,96,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,14524.0,Negative
64,66,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,6980.0,Negative
65,99,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,8446.0,Negative
66,47,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,11287.0,Negative
67,78,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,34506.0,Negative
68,90,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,8780.0,Negative
69,38,Russian,to fool or to lie to someone,to hang noodles on the ears,to waste one's time by listening to gossip or rumors that are not substantial,incorrect,7820.0,Negative
70,118,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,49044.0,Positive
71,126,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,5964.0,Positive
72,113,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,32390.0,Positive
73,77,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,15969.0,Positive
74,73,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,11809.0,Positive
75,103,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,7512.0,Positive
76,65,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to think about yourself a lot,incorrect,61177.0,Positive
77,104,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to have confidence about one's abilities,incorrect,11806.0,Positive
78,89,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,8017.0,Positive
79,108,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,16044.0,Positive
80,50,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to pull oneself together or to calm oneself down,correct,12635.0,Positive
81,83,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to pull oneself together or to calm oneself down,correct,12956.0,Positive
82,71,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,7613.0,Positive
83,60,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,10991.0,Positive
84,64,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to pull oneself together or to calm oneself down,correct,17198.0,Positive
85,72,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,14229.0,Positive
86,119,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to have confidence about one's abilities,incorrect,15910.0,Positive
87,121,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,22560.0,Positive
88,43,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to pull oneself together or to calm oneself down,correct,11925.0,Positive
89,48,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,14546.0,Positive
90,67,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to have confidence about one's abilities,incorrect,18561.0,Positive
91,47,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,19488.0,Positive
92,98,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to pull oneself together or to calm oneself down,correct,23962.0,Positive
93,82,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to have confidence about one's abilities,incorrect,10895.0,Positive
94,38,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,8737.0,Positive
95,74,Russian,to pull oneself together or to calm oneself down,to take oneself into one's hands,to handle a situation without anyone's help ,incorrect,26017.0,Positive
96,118,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,10040.0,Negative
97,32,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,6836.0,Negative
98,41,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,4619.0,Negative
99,53,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,8908.0,Negative
100,58,Hindi,to go through hardship in life,to know the prices of flour and lentils,to have a lot of useless knowledge,incorrect,26639.0,Negative
101,129,Hindi,to go through hardship in life,to know the prices of flour and lentils,to go through hardship in life,correct,6612.0,Negative
102,31,Hindi,to go through hardship in life,to know the prices of flour and lentils,to go through hardship in life,correct,9895.0,Negative
103,49,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,7516.0,Negative
104,64,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,9699.0,Negative
105,70,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,12536.0,Negative
106,46,Hindi,to go through hardship in life,to know the prices of flour and lentils,to go through hardship in life,correct,26764.0,Negative
107,42,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,10470.0,Negative
108,116,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,10077.0,Negative
109,112,Hindi,to go through hardship in life,to know the prices of flour and lentils,to go through hardship in life,correct,13657.0,Negative
110,75,Hindi,to go through hardship in life,to know the prices of flour and lentils,to go through hardship in life,correct,10557.0,Negative
111,95,Hindi,to go through hardship in life,to know the prices of flour and lentils,to appreciate the value of small things,incorrect,7989.0,Negative
112,118,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,8118.0,Negative
113,113,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,61838.0,Negative
114,32,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,11788.0,Negative
115,81,Hindi,something that appears great but is actually not,a grand shop selling bland food,showing off without but not being sincere,incorrect,3859.0,Negative
116,45,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,10075.0,Negative
117,107,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,14979.0,Negative
118,91,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,10581.0,Negative
119,103,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,5481.0,Negative
120,65,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,8236.0,Negative
121,128,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,21504.0,Negative
122,53,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,7433.0,Negative
123,30,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,10504.0,Negative
124,63,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,15885.0,Negative
125,76,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,8626.0,Negative
126,83,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,7992.0,Negative
127,80,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,6761.0,Negative
128,119,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,16461.0,Negative
129,106,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,6407.0,Negative
130,92,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,30818.0,Negative
131,121,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,12236.0,Negative
132,116,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,9327.0,Negative
133,101,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,9728.0,Negative
134,66,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,4285.0,Negative
135,68,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,12405.0,Negative
136,124,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,6902.0,Negative
137,37,Hindi,something that appears great but is actually not,a grand shop selling bland food,something that appears great but is actually not,correct,22385.0,Negative
138,118,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is late or lazy can miss opportunities,correct,9792.0,Negative
139,113,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,38328.0,Negative
140,45,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,8154.0,Negative
141,94,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is late or lazy can miss opportunities,correct,8384.0,Negative
142,65,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,63078.0,Negative
143,41,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is late or lazy can miss opportunities,correct,7787.0,Negative
144,128,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,to be easily manipulated,incorrect,18972.0,Negative
145,97,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is late or lazy can miss opportunities,correct,11160.0,Negative
146,30,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is late or lazy can miss opportunities,correct,19460.0,Negative
147,76,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,14207.0,Negative
148,86,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,13865.0,Negative
149,44,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,9115.0,Negative
150,116,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,to be easily manipulated,incorrect,16156.0,Negative
151,54,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is late or lazy can miss opportunities,correct,8211.0,Negative
152,125,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,46415.0,Negative
153,100,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is late or lazy can miss opportunities,correct,10668.0,Negative
154,98,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,17612.0,Negative
155,37,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,to be out of control,incorrect,28908.0,Negative
156,90,Spanish,someone who is late or lazy can miss opportunities,the sleeping shrimp gets carried away by the current,someone who is unaware of danger will be hurt,incorrect,20216.0,Negative
157,118,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,13467.0,Negative
158,77,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,6459.0,Negative
159,73,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,19016.0,Negative
160,107,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,16921.0,Negative
161,57,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,10006.0,Negative
162,103,Russian,to be lazy or idle,to spit at the ceiling,to express distaste ,incorrect,5994.0,Negative
163,87,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,6834.0,Negative
164,110,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,11054.0,Negative
165,102,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,19022.0,Negative
166,97,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,7457.0,Negative
167,86,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,7542.0,Negative
168,28,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,9172.0,Negative
169,122,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,17574.0,Negative
170,31,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,18584.0,Negative
171,49,Russian,to be lazy or idle,to spit at the ceiling,to express distaste ,incorrect,7657.0,Negative
172,127,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,8750.0,Negative
173,109,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,8489.0,Negative
174,70,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,30477.0,Negative
175,44,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,8189.0,Negative
176,42,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,6615.0,Negative
177,96,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,6533.0,Negative
178,75,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,12393.0,Negative
179,37,Russian,to be lazy or idle,to spit at the ceiling,to aim for high goals but never reach them,incorrect,20354.0,Negative
180,130,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,9079.0,Negative
181,74,Russian,to be lazy or idle,to spit at the ceiling,to waste energy on impossible tasks,incorrect,16119.0,Negative
182,118,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,13049.0,Negative
183,105,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,10959.0,Negative
184,103,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to make a scene in public or to cause a commotion,correct,6464.0,Negative
185,36,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,8907.0,Negative
186,128,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,12692.0,Negative
187,97,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,11861.0,Negative
188,120,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to make a scene in public or to cause a commotion,correct,19359.0,Negative
189,83,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,7962.0,Negative
190,71,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,19668.0,Negative
191,122,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,16320.0,Negative
192,109,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,13778.0,Negative
193,44,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,11156.0,Negative
194,114,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,6074.0,Negative
195,96,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,7408.0,Negative
196,40,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to take advantage of someone or something without worrying about consequences,incorrect,6567.0,Negative
197,130,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to make a scene in public or to cause a commotion,correct,12211.0,Negative
198,74,Spanish,to make a scene in public or to cause a commotion,to climb on a chicken,to depend blindly on someone,incorrect,24737.0,Negative
199,118,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,17773.0,Negative
200,117,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be protective about someone or something,incorrect,14329.0,Negative
201,91,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,42915.0,Negative
202,41,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,18198.0,Negative
203,128,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,21290.0,Negative
204,30,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,19743.0,Negative
205,84,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,14103.0,Negative
206,28,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be protective about someone or something,incorrect,12249.0,Negative
207,69,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be patient,incorrect,15321.0,Negative
208,31,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,12765.0,Negative
209,64,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be patient,incorrect,12179.0,Negative
210,48,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be patient,incorrect,13453.0,Negative
211,59,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be patient,incorrect,28216.0,Negative
212,66,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be patient,incorrect,17139.0,Negative
213,47,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,11003.0,Negative
214,34,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be patient,incorrect,12654.0,Negative
215,51,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to be patient,incorrect,14020.0,Negative
216,38,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,8100.0,Negative
217,74,Mandarin Chinese,to wait for a reward by assuming you will be lucky,to guard the tree stump waiting for a rabbit,to wait for a reward by assuming you will be lucky,correct,15875.0,Negative
218,118,Spanish,to find the love of your life or your soulmate,to find your half-orange,to discover something very fulfilling,incorrect,7527.0,Positive
219,73,Spanish,to find the love of your life or your soulmate,to find your half-orange,to find the love of your life or your soulmate,correct,11913.0,Positive
220,91,Spanish,to find the love of your life or your soulmate,to find your half-orange,to find the love of your life or your soulmate,correct,24272.0,Positive
221,41,Spanish,to find the love of your life or your soulmate,to find your half-orange,to find what you need to solve a problem,incorrect,15407.0,Positive
